Coin,Price,Open,High,Low,Vol.,Change %,Date
BNB,13.73,15.67,15.91,12.15,153.96M,-12.42%,01/12/2019
BTC,"7,196.40","7,546.50","7,702.20","6,462.20",21.03M,-4.64%,01/12/2019
ETH,129.21,151.93,152.33,117.14,378.34M,-14.97%,01/12/2019
BNB,28.51,29.27,32.37,25.71,111.86M,-2.77%,01/10/2020
BNB,29.32,23.13,33.35,18.02,204.02M,26.74%,01/10/2020
BNB,23.13,20.67,23.92,19.26,115.72M,11.94%,01/10/2020
BNB,20.67,19.84,20.85,19.56,101.90M,34.18%,01/10/2020
BNB,15.4,17.1,18.19,14.85,92.99M,-9.97%,01/10/2020
BNB,17.11,17,18.16,14.03,186.16M,0.63%,01/10/2020
BNB,17,12.55,18.2,11.98,253.24M,35.48%,01/10/2020
BNB,12.55,19.28,21.76,6.5,300.11M,-34.90%,01/10/2020
BNB,19.28,18.22,27.2,18.22,212.07M,5.90%,01/10/2020
BNB,18.2,13.73,18.83,12.99,169.65M,32.57%,01/10/2020
BTC,"13,797.30","10,776.60","14,065.40","10,387.60",2.41M,28.04%,01/10/2020
BTC,"10,776.10","11,644.20","12,045.90","9,877.10",83.88M,-7.46%,01/10/2020
BTC,"11,644.20","11,333.20","12,444.10","10,730.70",15.39M,2.74%,01/10/2020
BTC,"11,333.40","10,961.10","11,434.80","10,771.80",13.21M,24.06%,01/10/2020
BTC,"9,135.40","9,454.50","10,301.80","8,865.30",15.35M,-3.38%,01/10/2020
BTC,"9,454.80","8,628.60","10,033.00","8,235.60",38.48M,9.57%,01/10/2020
BTC,"8,629.00","6,412.40","9,437.50","6,157.40",39.41M,34.56%,01/10/2020
BTC,"6,412.50","8,543.80","9,180.80","3,869.50",48.24M,-24.94%,01/10/2020
BTC,"8,543.70","9,349.30","10,482.60","8,543.70",23.76M,-8.62%,01/10/2020
BTC,"9,349.10","7,196.40","9,569.00","6,884.10",23.56M,29.91%,01/10/2020
ETH,386.42,359.5,420.12,334.11,209.52M,7.52%,01/10/2020
ETH,359.39,433.89,488.24,314.13,410.26M,-17.17%,01/10/2020
ETH,433.9,346.48,444.86,335.76,246.93M,25.22%,01/10/2020
ETH,346.51,225.61,349.34,223.53,237.53M,53.58%,01/10/2020
ETH,225.63,231.8,253.21,217.11,220.37M,-2.67%,01/10/2020
ETH,231.81,206.23,246.55,177.43,549.27M,12.41%,01/10/2020
ETH,206.22,132.88,227.05,128.93,752.88M,55.22%,01/10/2020
