Date,Price,Open,High,Low,Vol.,Change %
Nov-21,622.41,524.65,668.8,511.74,16.61M,18.68%
Oct-21,524.46,387.59,540.31,381.79,39.84M,35.31%
Sep-21,387.59,464.29,509.75,320.1,41.86M,-16.52%
Aug-21,464.29,332.32,518.58,317.7,48.83M,39.67%
Jul-21,332.41,303.24,339.36,255.79,50.09M,9.62%
Jun-21,303.25,353.63,432.58,225.93,98.40M,-14.27%
May-21,353.74,623.25,690.87,212.41,145.07M,-43.25%
Apr-21,623.33,302.19,636.11,300.79,135.76M,106.27%
Mar-21,302.18,210.04,316.44,209.51,128.93M,43.87%
Feb-21,210.04,44.31,346.82,43.43,249.69M,374.42%
Jan-21,44.27,37.33,47.19,35.1,132.43M,18.58%
Dec-20,37.34,31.42,39.7,26.73,111.44M,18.56%
Nov-20,31.49,32.33,35.38,26.45,110.72M,10.46%
Oct-20,28.51,29.27,32.37,25.71,111.86M,-2.77%
Sep-20,29.32,23.13,33.35,18.02,204.02M,26.74%
Aug-20,23.13,20.67,23.92,19.26,115.72M,11.94%
Jul-20,20.67,19.84,20.85,19.56,101.90M,34.18%
Jun-20,15.4,17.1,18.19,14.85,92.99M,-9.97%
May-20,17.11,17,18.16,14.03,186.16M,0.63%
Apr-20,17,12.55,18.2,11.98,253.24M,35.48%
Mar-20,12.55,19.28,21.76,6.5,300.11M,-34.90%
Feb-20,19.28,18.22,27.2,18.22,212.07M,5.90%
Jan-20,18.2,13.73,18.83,12.99,169.65M,32.57%
Dec-19,13.73,15.67,15.91,12.15,153.96M,-12.42%
