date,area,totalcases,MHI,MCI,btc_price,eth_price
12/12/2021,Worldwide,269195299,13.5,57.4,"49,225.00","4,041.61"
11/12/2021,Worldwide,269195299,15.5,59.39,"49,314.50","4,075.66"
10/12/2021,Worldwide,269195299,16.26,60.51,"47,137.20","3,903.48"
09/12/2021,Worldwide,268558266,16.57,61.48,"47,596.60","4,107.69"
08/12/2021,Worldwide,267834341,15.52,59.42,"50,473.90","4,435.74"
07/12/2021,Worldwide,267163176,17.14,60.51,"50,595.20","4,307.08"
06/12/2021,Worldwide,266468058,15.19,60.18,"50,562.10","4,353.31"
05/12/2021,Worldwide,265864109,15.55,61.39,"49,405.50","4,194.80"
04/12/2021,Worldwide,265440690,18.35,61.18,"49,195.20","4,123.46"
03/12/2021,Worldwide,264932878,18.25,62.31,"53,631.50","4,219.30"
02/12/2021,Worldwide,264220632,18.12,62.83,"56,496.00","4,512.90"
01/12/2021,Worldwide,263519289,18.73,63.59,"57,210.30","4,583.28"
30/11/2021,Worldwide,262812527,20.23,61.6,"56,882.90","4,628.90"
29/11/2021,Worldwide,262182633,17.62,62.47,"57,794.80","4,443.22"
28/11/2021,Worldwide,261516772,18.67,62.92,"57,291.50","4,296.98"
27/11/2021,Worldwide,261110870,19.39,59.42,"54,765.90","4,094.80"
26/11/2021,Worldwide,260660212,15.17,55.86,"53,730.90","4,034.53"
25/11/2021,Worldwide,260068306,14.91,59.87,"58,935.10","4,520.30"
24/11/2021,Worldwide,259472167,13.49,60.39,"57,171.70","4,273.54"
23/11/2021,Worldwide,258799077,15.03,58.15,"57,573.20","4,340.23"
22/11/2021,Worldwide,258189863,13.98,58.31,"56,308.80","4,086.95"
21/11/2021,Worldwide,257565129,13.48,58.77,"58,714.30","4,268.08"
20/11/2021,Worldwide,257168801,15.62,59.04,"59,717.60","4,408.85"
19/11/2021,Worldwide,256690934,14.61,59.79,"58,083.40","4,295.43"
18/11/2021,Worldwide,256078015,14.35,60.49,"56,955.30","4,001.87"
17/11/2021,Worldwide,255463150,14.6,60.35,"60,367.80","4,290.88"
16/11/2021,Worldwide,254837959,16.07,57.64,"60,089.10","4,208.16"
15/11/2021,Worldwide,254315156,13.99,57.56,"63,597.90","4,562.98"
14/11/2021,Worldwide,253770095,11.07,57.01,"65,508.20","4,625.59"
13/11/2021,Worldwide,253418652,14.58,59.55,"64,398.60","4,644.61"
12/11/2021,Worldwide,252989981,14.11,59.66,"64,134.50","4,667.31"
11/11/2021,Worldwide,252395722,15.18,61.22,"64,806.70","4,720.87"
10/11/2021,Worldwide,251879600,15.7,60.97,"64,932.60","4,634.03"
09/11/2021,Worldwide,251305175,15.77,60.03,"66,904.40","4,731.83"
08/11/2021,Worldwide,250821737,13.87,60.56,"67,527.90","4,808.38"
07/11/2021,Worldwide,250343250,12.36,61.18,"63,273.20","4,612.06"
06/11/2021,Worldwide,249996073,16.81,62.09,"61,483.90","4,517.36"
05/11/2021,Worldwide,249581640,17.47,62.33,"60,974.30","4,475.00"
04/11/2021,Worldwide,249066598,17.49,61.74,"61,412.60","4,535.11"
03/11/2021,Worldwide,248538823,14.5,60.1,"62,918.50","4,602.21"
02/11/2021,Worldwide,248017603,16.27,60.84,"63,221.70","4,586.06"
01/11/2021,Worldwide,247587799,16.45,59.1,"60,915.30","4,320.85"
31/10/2021,Worldwide,247164753,15.64,60.69,"61,309.60","4,287.56"
30/10/2021,Worldwide,246843901,18.85,60.85,"61,840.10","4,320.65"
29/10/2021,Worldwide,246461921,15.74,61.13,"62,242.80","4,413.70"
28/10/2021,Worldwide,245957103,16.06,59.63,"60,582.50","4,284.90"
27/10/2021,Worldwide,245498327,15.99,62.03,"58,438.10","3,921.93"
26/10/2021,Worldwide,244985846,15.26,59.76,"60,310.80","4,129.51"
25/10/2021,Worldwide,244542769,13.32,60.07,"63,067.00","4,219.92"
24/10/2021,Worldwide,244111765,14.23,59.54,"60,866.50","4,082.80"
23/10/2021,Worldwide,243795689,16.56,61.98,"61,312.50","4,168.85"
22/10/2021,Worldwide,243435393,15.79,62.14,"60,690.30","3,970.94"
21/10/2021,Worldwide,242950039,16.56,61.39,"62,210.20","4,054.16"
20/10/2021,Worldwide,242493057,16.52,61.81,"65,979.10","4,159.89"
19/10/2021,Worldwide,242021852,16.02,62.08,"64,278.50","3,876.78"
18/10/2021,Worldwide,241579420,13.54,57.59,"62,056.30","3,747.60"
17/10/2021,Worldwide,241164653,14.5,59.78,"61,527.50","3,845.47"
16/10/2021,Worldwide,240851366,16.33,61.32,"60,861.10","3,827.55"
15/10/2021,Worldwide,240514095,17.06,61.98,"61,672.50","3,866.90"
14/10/2021,Worldwide,240057301,18.06,62.83,"57,345.80","3,790.41"
13/10/2021,Worldwide,239612736,15.85,61.89,"57,380.10","3,607.28"
12/10/2021,Worldwide,239149400,16.04,60.17,"56,015.90","3,489.90"
