Date,Price,Open,High,Low,Vol.,Change %
Nov-21,"4,651.65","4,287.41","4,864.06","4,157.51",6.26M,8.49%
Oct-21,"4,287.56","2,999.86","4,458.30","2,972.75",21.57M,42.89%
Sep-21,"3,000.59","3,429.65","4,024.89","2,659.71",30.69M,-12.54%
Aug-21,"3,430.74","2,530.94","3,467.42","2,445.49",26.43M,35.49%
Jul-21,"2,532.19","2,274.50","2,551.68","1,720.70",33.53M,11.36%
Jun-21,"2,273.84","2,707.94","2,889.19","1,707.24",51.29M,-16.05%
May-21,"2,708.47","2,772.27","4,366.10","1,739.91",81.40M,-2.32%
Apr-21,"2,772.78","1,918.82","2,797.61","1,897.38",61.47M,44.57%
Mar-21,"1,917.99","1,418.91","1,945.40","1,411.55",50.74M,35.19%
Feb-21,"1,418.76","1,312.69","2,040.79","1,272.09",53.76M,8.08%
Jan-21,"1,312.73",735.87,"1,474.68",715.15,79.04M,78.37%
Dec-20,735.94,616.78,757.11,530.88,300.29M,19.49%
Nov-20,615.92,386.36,621.7,370.96,437.16M,59.39%
Oct-20,386.42,359.5,420.12,334.11,209.52M,7.52%
Sep-20,359.39,433.89,488.24,314.13,410.26M,-17.17%
Aug-20,433.9,346.48,444.86,335.76,246.93M,25.22%
Jul-20,346.51,225.61,349.34,223.53,237.53M,53.58%
Jun-20,225.63,231.8,253.21,217.11,220.37M,-2.67%
May-20,231.81,206.23,246.55,177.43,549.27M,12.41%
Apr-20,206.22,132.88,227.05,128.93,752.88M,55.22%
Mar-20,132.86,217.51,251.55,88.5,798.97M,-38.92%
Feb-20,217.52,179.88,287.93,179.88,565.04M,20.91%
Jan-20,179.91,129.21,186.76,126.05,412.79M,39.24%
Dec-19,129.21,151.93,152.33,117.14,378.34M,-14.97%
