LOCATION,INDICATOR,date,value
GBR,CCI,2019-10,99.87088
GBR,CCI,2019-11,100.2193
GBR,CCI,2019-12,100.609
GBR,CCI,2020-01,100.7482
GBR,CCI,2020-02,100.3464
GBR,CCI,2020-03,99.14722
GBR,CCI,2020-04,97.41693
GBR,CCI,2020-05,96.56847
GBR,CCI,2020-06,96.7243
GBR,CCI,2020-07,97.2774
GBR,CCI,2020-08,97.51148
GBR,CCI,2020-09,97.31254
GBR,CCI,2020-10,96.93477
GBR,CCI,2020-11,96.82585
GBR,CCI,2020-12,97.28616
GBR,CCI,2021-01,97.94541
GBR,CCI,2021-02,99.14178
GBR,CCI,2021-03,100.6016
GBR,CCI,2021-04,101.752
GBR,CCI,2021-05,102.6322
GBR,CCI,2021-06,103.0305
GBR,CCI,2021-07,102.9694
GBR,CCI,2021-08,102.3793
GBR,CCI,2021-09,101.3749
GBR,CCI,2021-10,100.4864
GBR,CCI,2021-11,100.0106
