date,MHI,btc_price
2021-12-26,25.24,50779.9
2021-12-25,25.87,50406.4
2021-12-24,23.91,50786.1
2021-12-23,24.34,50801.1
2021-12-22,22.33,48599.7
2021-12-21,21.81,48902
2021-12-20,23.15,46895.2
2021-12-19,20.6,46704.5
2021-12-18,20.83,46856.2
2021-12-17,19.59,46172.2
2021-12-16,19.34,47628.2
2021-12-15,17.59,48871.5
2021-12-14,16.7,48366.5
2021-12-13,14.64,46703.6
2021-12-12,13.5,49225
2021-12-11,15.5,49314.5
2021-12-10,16.26,47137.2
2021-12-09,16.57,47596.6
2021-12-08,15.52,50473.9
2021-12-07,17.14,50595.2
2021-12-06,15.19,50562.1
2021-12-05,15.55,49405.5
2021-12-04,18.35,49195.2
2021-12-03,18.25,53631.5
2021-12-02,18.12,56496
2021-12-01,18.73,57210.3
2021-11-30,20.23,56882.9
2021-11-29,17.62,57794.8
2021-11-28,18.67,57291.5
2021-11-27,19.39,54765.9
2021-11-26,15.17,53730.9
2021-11-25,14.91,58935.1
2021-11-24,13.49,57171.7
2021-11-23,15.03,57573.2
2021-11-22,13.98,56308.8
2021-11-21,13.48,58714.3
2021-11-20,15.62,59717.6
2021-11-19,14.61,58083.4
2021-11-18,14.35,56955.3
2021-11-17,14.6,60367.8
2021-11-16,16.07,60089.1
2021-11-15,13.99,63597.9
2021-11-14,11.07,65508.2
2021-11-13,14.58,64398.6
2021-11-12,14.11,64134.5
2021-11-11,15.18,64806.7
2021-11-10,15.7,64932.6
2021-11-09,15.77,66904.4
2021-11-08,13.87,67527.9
2021-11-07,12.36,63273.2
2021-11-06,16.81,61483.9
2021-11-05,17.47,60974.3
2021-11-04,17.49,61412.6
2021-11-03,14.5,62918.5
2021-11-02,16.27,63221.7
2021-11-01,16.45,60915.3
2021-10-31,15.64,61309.6
2021-10-30,18.85,61840.1
2021-10-29,15.74,62242.8
2021-10-28,16.06,60582.5
2021-10-27,15.99,58438.1
2021-10-26,15.26,60310.8
2021-10-25,13.32,63067
2021-10-24,14.23,60866.5
2021-10-23,16.56,61312.5
2021-10-22,15.79,60690.3
2021-10-21,16.56,62210.2
2021-10-20,16.52,65979.1
2021-10-19,16.02,64278.5
2021-10-18,13.54,62056.3
2021-10-17,14.5,61527.5
2021-10-16,16.33,60861.1
2021-10-15,17.06,61672.5
2021-10-14,18.06,57345.8
2021-10-13,15.85,57380.1
2021-10-12,16.04,56015.9
2021-10-11,13.34,57477.3
2021-10-10,13.99,54687.7
2021-10-09,16.7,54942.5
2021-10-08,16.84,53914.7
2021-10-07,17.02,53783.9
2021-10-06,16.08,55323.2
2021-10-05,15.77,51469.3
2021-10-04,14.29,49227.3
2021-10-03,16.88,48200.1
2021-10-02,18.76,47666.9
2021-10-01,17.36,48146
2021-09-30,18.6,43823.3
2021-09-29,18.53,41536.8
2021-09-28,18.83,41022.3
2021-09-27,13.13,42172.6
2021-09-26,15.12,43203.4
2021-09-25,18.97,42686.8
2021-09-24,17.96,42819.9
2021-09-23,18.56,44869.2
2021-09-22,19.32,43551.6
2021-09-21,18.46,40651.3
2021-09-20,14.84,42870.6
2021-09-19,17.28,47238.7
2021-09-18,19.81,48306.7
2021-09-17,20.21,47282.8
2021-09-16,19.93,47748
2021-09-15,20.48,48130.6
2021-09-14,18.6,47077.5
2021-09-13,16.66,44949.5
2021-09-12,16.96,46062.3
2021-09-11,21.41,45161.9
2021-09-10,20.88,44842.8
2021-09-09,19.85,46385.6
2021-09-08,19.64,46061.4
2021-09-07,18.76,46779.6
2021-09-06,19.66,52672.1
2021-09-05,19.19,51768.6
2021-09-04,21.78,49918.4
2021-09-03,19.09,49999
2021-09-02,20.77,49274.3
2021-09-01,19.94,48819.4
2021-08-31,20.62,47130.4
2021-08-30,18.67,46992.7
2021-08-29,20.94,48777.4
2021-08-28,21.82,48897.1
2021-08-27,21.62,49064.3
2021-08-26,22.59,46831.6
2021-08-25,22.85,48994.5
2021-08-24,23.68,47714.7
2021-08-23,19.85,49539.7
2021-08-22,19.52,49254.5
2021-08-21,23.98,48875.8
2021-08-20,20.93,49324
2021-08-19,22.38,46755.9
2021-08-18,23.5,44723.8
2021-08-17,20.73,44691.6
2021-08-16,20.26,45996.3
2021-08-15,20.03,46991.3
2021-08-14,23.71,47081.5
2021-08-13,23.15,47809.1
2021-08-12,23.62,44403.4
2021-08-11,24.05,45564.3
2021-08-10,23.32,45593.8
2021-08-09,25.93,46284.3
2021-08-08,24.56,43792.8
2021-08-07,23.25,44614.2
2021-08-06,23.78,42795.4
2021-08-05,23.66,40867.2
2021-08-04,23.11,39736.9
2021-08-03,23.7,38130.3
2021-08-02,24.96,39168.4
2021-08-01,23.61,39878.3
2021-07-31,23.71,41553.7
2021-07-30,23.24,42203.4
2021-07-29,23.88,40001.4
2021-07-28,21.81,40003.2
2021-07-27,23.58,39452
2021-07-26,25.35,37276.6
2021-07-25,25.38,35391.1
2021-07-24,25.12,33824.8
2021-07-23,23.87,33603.3
2021-07-22,23.05,32298.9
2021-07-21,21.91,32131.4
2021-07-20,23.7,29793.8
2021-07-19,23.77,30837.2
2021-07-18,22.7,31785.4
2021-07-17,22.36,31518.6
2021-07-16,21.2,31394
2021-07-15,21.15,31840.5
2021-07-14,21.49,32820.7
2021-07-13,22.23,32728.1
2021-07-12,20.16,33113
2021-07-11,19.18,34227.7
2021-07-10,20.31,33510.6
2021-07-09,20.55,33797.4
2021-07-08,18.88,32866.3
2021-07-07,18.36,33867.8
2021-07-06,21.65,34225.6
2021-07-05,21.26,33687.8
2021-07-04,18.75,35298.2
2021-07-03,20.01,34742.8
2021-07-02,20.68,33813.4
2021-07-01,19.7,33543.6
2021-06-30,20.36,35026.9
2021-06-29,20.85,35834.7
2021-06-28,20.21,34475.9
2021-06-27,21.16,34678.5
2021-06-26,20.58,32243.4
2021-06-25,19.33,31594
2021-06-24,19.71,34665.8
2021-06-23,20.3,33674.3
2021-06-22,20.73,32496.4
2021-06-21,17.81,31692
2021-06-20,21.22,35595.8
2021-06-19,22.41,35513.4
2021-06-18,20.58,35749.4
2021-06-17,20.6,38052
2021-06-16,21.74,38336
2021-06-15,21.05,40156.1
2021-06-14,25.27,40529.4
2021-06-13,22.8,39022.9
2021-06-12,23.39,35467.5
2021-06-11,22.55,37314.6
2021-06-10,22.26,36649.4
2021-06-09,20.29,37332.2
2021-06-08,20.84,33382.9
2021-06-07,20.61,33578
2021-06-06,20.57,35815.4
2021-06-05,23.26,35520
2021-06-04,22.11,36851.3
2021-06-03,21.69,39187.3
2021-06-02,22.74,37555.8
2021-06-01,23.91,36687.6
2021-05-31,23.38,37298.6
2021-05-30,23.44,35652.8
2021-05-29,22.33,34584.6
2021-05-28,22.92,35662.5
2021-05-27,22.36,38417.3
2021-05-26,22.79,39249.2
2021-05-25,23.05,38378.3
2021-05-24,22.36,38750.6
2021-05-23,22.88,34679.7
2021-05-22,25.96,37448.3
2021-05-21,23.36,37297.4
2021-05-20,22.54,40717.2
2021-05-19,22.96,36720.5
2021-05-18,24.58,42897.3
2021-05-17,23.49,43541.3
2021-05-16,22.69,46426.4
2021-05-15,24.81,46708.8
2021-05-14,24.47,49839.8
2021-05-13,23.97,49704.6
2021-05-12,24.38,49384.2
2021-05-11,24.34,56695.7
2021-05-10,23.79,55848.9
2021-05-09,22.9,58238.3
2021-05-08,25.69,58840.1
2021-05-07,23.84,57337.2
2021-05-06,23.95,56405.4
2021-05-05,24.51,57441.3
2021-05-04,24.93,53741.5
2021-05-03,22.11,57169.8
2021-05-02,25.58,56603.8
2021-05-01,24.93,57807.1
2021-04-30,23.54,57720.3
2021-04-29,23.08,53560.8
2021-04-28,25.97,54841.4
2021-04-27,24.76,55036.5
2021-04-26,27.5,54020.5
2021-04-25,23.98,48963.6
2021-04-24,25.37,50088.9
2021-04-23,22.53,51143.6
2021-04-22,22.94,51729.5
2021-04-21,22.67,53820.2
2021-04-20,23.63,56483.2
2021-04-19,25.52,55646.1
2021-04-18,25.31,56207.1
2021-04-17,23.32,60041.9
2021-04-16,23.82,61379.7
2021-04-15,24.62,63216
2021-04-14,26.62,62980.4
2021-04-13,24.56,63540.9
2021-04-12,25.05,59863.8
2021-04-11,24.16,59978.7
2021-04-10,25.6,59748.4
2021-04-09,25.57,58118.7
2021-04-08,26.49,58077.4
2021-04-07,27.85,55948.7
2021-04-06,26.77,57996.3
2021-04-05,27.15,58993.4
2021-04-04,27.39,58199.9
2021-04-03,29.06,57059.9
2021-04-02,26.72,58977.3
2021-04-01,26.09,58718.3
2021-03-31,26.27,58763.7
2021-03-30,28.28,58771.3
2021-03-29,24.67,57616.2
2021-03-28,26.37,55765.2
2021-03-27,25.48,55862.9
2021-03-26,27.28,55036.1
2021-03-25,25.76,51322.3
2021-03-24,25.53,52325.4
2021-03-23,25.82,54452.5
2021-03-22,26.43,54158.3
2021-03-21,26.44,57383.8
2021-03-20,26.78,58093.4
2021-03-19,27.71,58088
2021-03-18,27.07,57656
2021-03-17,27.06,58913.5
2021-03-16,28.26,56889.7
2021-03-15,30.5,55791.3
2021-03-14,27.58,59113.7
2021-03-13,28.45,61195.3
2021-03-12,28.59,57265.1
2021-03-11,26.65,57799.5
2021-03-10,25.22,55851.9
2021-03-09,27.61,54879
2021-03-08,27.97,52311
2021-03-07,27.23,50982.3
2021-03-06,29.1,48855.6
2021-03-05,25.49,48792.5
2021-03-04,27.59,48428
2021-03-03,26.8,50395.1
2021-03-02,28.34,48424.2
2021-03-01,27.28,49595.5
2021-02-28,25.65,45164
2021-02-27,25.8,46136.7
2021-02-26,25.28,46345.6
2021-02-25,25.76,46928.5
2021-02-24,25.51,49697.5
2021-02-23,28.42,48911.2
2021-02-22,25.56,54111.8
2021-02-21,23.92,57433.8
2021-02-20,26.73,55923.7
2021-02-19,27.23,55906.6
2021-02-18,29.27,51582.2
2021-02-17,27.48,52079.2
2021-02-16,27.84,49169.7
2021-02-15,28.04,47936.3
2021-02-14,24.75,48643.4
2021-02-13,27.1,47168.7
2021-02-12,26.71,47371.7
2021-02-11,25.64,47990.7
2021-02-10,27.71,44836
2021-02-09,29.22,46508.6
2021-02-08,27.42,46395.7
2021-02-07,26.14,38852.9
2021-02-06,29.24,39256.6
2021-02-05,27.41,38297.6
2021-02-04,27.92,36982.1
2021-02-03,31.09,37646.8
2021-02-02,31.26,35485.2
2021-02-01,33.38,33515.7
2021-01-31,29.94,33108.1
2021-01-30,31.65,34283.1
2021-01-29,31.1,34301.8
2021-01-28,32.38,33374.8
2021-01-27,31.89,30404
2021-01-26,33.3,32502.1
2021-01-25,31.42,32252.3
2021-01-24,30.65,32241.3
2021-01-23,33.43,32088.9
2021-01-22,31.14,33000.5
2021-01-21,32.11,30842.1
2021-01-20,32.05,35476.3
2021-01-19,32.89,36002.9
2021-01-18,31.73,36613.2
2021-01-17,32.22,35839.6
2021-01-16,31.97,36019.5
2021-01-15,31.66,36845.8
2021-01-14,31.26,39175.7
2021-01-13,33.66,37382.2
2021-01-12,30.86,34076.1
2021-01-11,30.05,35544.3
2021-01-10,30.3,38192.2
2021-01-09,31.67,40151.9
2021-01-08,25.5,40599.3
2021-01-07,30.66,39460.2
2021-01-06,35.46,36793.2
2021-01-05,34.73,33991.5
2021-01-04,36.22,32022.6
2021-01-03,37.59,32958.9
2021-01-02,40.66,32193.3
2021-01-01,39.23,29359.9
2020-12-31,40.37,28949.4
2020-12-30,38.21,28868.7
2020-12-29,36.8,27376
2020-12-28,36.3,27057.8
2020-12-27,38.45,26261.3
2020-12-26,38.73,26454.4
2020-12-25,39.08,24689.6
2020-12-24,37.29,23736.5
2020-12-23,38.46,23257.9
2020-12-22,37.95,23823.2
2020-12-21,41.97,22728.5
2020-12-20,40.85,23474.9
2020-12-19,36.15,23844
2020-12-18,33.89,23127.9
2020-12-17,35.2,22825.4
2020-12-16,34.83,21352.2
2020-12-15,35.9,19434.9
2020-12-14,34.8,19273.8
2020-12-13,36.25,19176.8
2020-12-12,34.22,18808.9
2020-12-11,33.67,18023.6
2020-12-10,34.83,18247.2
2020-12-09,35.57,18546
2020-12-08,36.46,18326.6
2020-12-07,36.31,19170.7
2020-12-06,33.88,19379.9
2020-12-05,36.28,19146.5
2020-12-04,35.03,18658.1
2020-12-03,36.41,19433.3
2020-12-02,36.68,19218.8
2020-12-01,35.22,18770.7
2020-11-30,32.56,19698.1
2020-11-29,34.91,18185.5
2020-11-28,36.3,17730.7
2020-11-27,35.31,17127.1
2020-11-26,37.62,17162
2020-11-25,35.98,18723
2020-11-24,36.79,19152.6
2020-11-23,39.29,18379.6
2020-11-22,37.34,18412.9
2020-11-21,38.23,18687.2
2020-11-20,38.04,18675.2
2020-11-19,36.95,17803.5
2020-11-18,35.13,17774.6
2020-11-17,36.95,17662.3
2020-11-16,36.83,16715.8
2020-11-15,37.06,15953
2020-11-14,35.62,16071
2020-11-13,34.5,16324.2
2020-11-12,34.55,16294.7
2020-11-11,33.12,15695.8
2020-11-10,36.15,15303.6
2020-11-09,32.64,15327.2
2020-11-08,30.32,15483.7
2020-11-07,29.91,14828.4
2020-11-06,31.23,15577.9
2020-11-05,32.45,15587.1
2020-11-04,33.76,14145.6
2020-11-03,33.01,14019.9
2020-11-02,34.82,13561.4
2020-11-01,35.07,13759.4
2020-10-31,32.53,13797.3
2020-10-30,33.18,13559.9
2020-10-29,33.87,13457.2
2020-10-28,32.57,13278.9
2020-10-27,33,13657.8
2020-10-26,36.27,13061.6
2020-10-25,34.05,13032.2
2020-10-24,34.52,13117.2
2020-10-23,33.67,12934.1
2020-10-22,34.25,12974.6
2020-10-21,33.51,12808.7
2020-10-20,34.55,11913.5
2020-10-19,33.98,11753.4
2020-10-18,34.27,11506.9
2020-10-17,35.58,11362.1
2020-10-16,36.02,11322
2020-10-15,34.18,11503
2020-10-14,34.54,11420.4
2020-10-13,32.82,11423.8
2020-10-12,33.05,11533.9
2020-10-11,34.23,11371
2020-10-10,34.75,11298.4
2020-10-09,36.06,11054.2
2020-10-08,34.21,10924.1
2020-10-07,35.3,10670.9
2020-10-06,36.47,10602.6
2020-10-05,40.18,10789.5
2020-10-04,41.73,10672.9
2020-10-03,41.12,10544.2
2020-10-02,32.07,10572.3
2020-10-01,31.27,10620.5
2020-09-30,32.2,10776.1
2020-09-29,30.14,10840.9
2020-09-28,30.12,10693.2
2020-09-27,29.95,10776.2
2020-09-26,31.36,10727.9
2020-09-25,31.2,10688.8
2020-09-24,31.08,10739.4
2020-09-23,32.89,10237.3
2020-09-22,30.44,10531.5
2020-09-21,28.34,10416.8
2020-09-20,26.75,10921.5
2020-09-19,31.78,11081.8
2020-09-18,31.01,10933
2020-09-17,31.66,10941.3
2020-09-16,31.09,10949.5
2020-09-15,31.23,10785.3
2020-09-14,31.98,10675.3
2020-09-13,31.85,10326
2020-09-12,31.49,10441.9
2020-09-11,31.95,10390.2
2020-09-10,31.94,10339.7
2020-09-09,32.9,10224.6
2020-09-08,32.08,10126.6
2020-09-07,30.25,10376.9
2020-09-06,31.51,10296.4
2020-09-05,32.78,10092.2
2020-09-04,33.43,10472.5
2020-09-03,33.05,10168.8
2020-09-02,32.81,11413.3
2020-09-01,33.48,11914.9
2020-08-31,32.06,11644.2
2020-08-30,30.93,11702
