date,MHI,btc_price,dailycases,sentiment_index
2021-12-26,25.24,50779.9,714262,-26.09
2021-12-25,25.87,50406.4,714262,-23.53
2021-12-24,23.91,50786.1,714262,-14.49
2021-12-23,24.34,50801.1,983304,-15.23
2021-12-22,22.33,48599.7,912305,-17.47
2021-12-21,21.81,48902,786528,-18.15
2021-12-20,23.15,46895.2,792318,-18.34
2021-12-19,20.6,46704.5,468763,-14.07
2021-12-18,20.83,46856.2,565609,-10.48
2021-12-17,19.59,46172.2,697407,-7.75
2021-12-16,19.34,47628.2,741190,-4.57
2021-12-15,17.59,48871.5,739250,-2.43
2021-12-14,16.7,48366.5,680605,-1.57
2021-12-13,14.64,46703.6,638442,-8.86
2021-12-12,13.5,49225,431989,-9.01
2021-12-11,15.5,49314.5,488875,-13.71
2021-12-10,16.26,47137.2,691958,-13.14
2021-12-09,16.57,47596.6,713518,-14.71
2021-12-08,15.52,50473.9,672798,-14.57
2021-12-07,17.14,50595.2,698062,-17.3
2021-12-06,15.19,50562.1,595576,-10.38
2021-12-05,15.55,49405.5,436740,-22.01
2021-12-04,18.35,49195.2,507182,-21.05
2021-12-03,18.25,53631.5,708272,-24.3
2021-12-02,18.12,56496,700369,-25.06
2021-12-01,18.73,57210.3,707804,-23.74
2021-11-30,20.23,56882.9,630751,-21.11
2021-11-29,17.62,57794.8,667013,-20.8
2021-11-28,18.67,57291.5,406185,-20.33
2021-11-27,19.39,54765.9,450810,-16.5
2021-11-26,15.17,53730.9,585691,-13.83
2021-11-25,14.91,58935.1,598363,-12.77
2021-11-24,13.49,57171.7,671442,-13.78
2021-11-23,15.03,57573.2,615830,-14.02
2021-11-22,13.98,56308.8,625007,-13.16
2021-11-21,13.48,58714.3,396470,-4.41
2021-11-20,15.62,59717.6,476946,1.53
2021-11-19,14.61,58083.4,609835,1.08
2021-11-18,14.35,56955.3,613981,0.18
2021-11-17,14.6,60367.8,626368,-0.23
2021-11-16,16.07,60089.1,527757,0.06
2021-11-15,13.99,63597.9,544968,-0.21
2021-11-14,11.07,65508.2,351769,2.68
2021-11-13,14.58,64398.6,428679,3.86
2021-11-12,14.11,64134.5,583873,5.01
2021-11-11,15.18,64806.7,517995,4.32
2021-11-10,15.7,64932.6,577169,5.15
2021-11-09,15.77,66904.4,489340,5.36
2021-11-08,13.87,67527.9,478511,5.36
2021-11-07,12.36,63273.2,347188,-4.62
2021-11-06,16.81,61483.9,414397,-3.11
2021-11-05,17.47,60974.3,509750,-4.24
2021-11-04,17.49,61412.6,527682,-3.07
2021-11-03,14.5,62918.5,522889,-3.69
2021-11-02,16.27,63221.7,433562,-3.02
2021-11-01,16.45,60915.3,423065,-3.32
2021-10-31,15.64,61309.6,320856,5.63
2021-10-30,18.85,61840.1,381963,5.28
2021-10-29,15.74,62242.8,504765,5.6
2021-10-28,16.06,60582.5,453155,5.75
2021-10-27,15.99,58438.1,512444,6.24
2021-10-26,15.26,60310.8,448774,5.06
2021-10-25,13.32,63067,431014,4.44
2021-10-24,14.23,60866.5,316082,3.75
2021-10-23,16.56,61312.5,360248,2.48
2021-10-22,15.79,60690.3,479033,3.58
2021-10-21,16.56,62210.2,457112,2.9
2021-10-20,16.52,65979.1,471326,1.72
2021-10-19,16.02,64278.5,448561,1.98
2021-10-18,13.54,62056.3,414762,3.26
2021-10-17,14.5,61527.5,313290,-5.75
2021-10-16,16.33,60861.1,337228,-8.07
2021-10-15,17.06,61672.5,450845,-7.92
2021-10-14,18.06,57345.8,445509,-6.16
2021-10-13,15.85,57380.1,463881,-4.93
2021-10-12,16.04,56015.9,438091,-5.3
2021-10-11,13.34,57477.3,381997,-6.94
2021-10-10,13.99,54687.7,314929,2.7
