Date,MCI
2020-01-01,0.09
2020-01-02,0.3
2020-01-03,0.2
2020-01-04,1.07
2020-01-05,0.67
2020-01-06,1.19
2020-01-07,1.59
2020-01-08,0.66
2020-01-09,0.95
2020-01-10,6.1
2020-01-11,1.88
2020-01-12,8.19
2020-01-13,3.1
2020-01-14,4.27
2020-01-15,3.3
2020-01-16,4.68
2020-01-17,5.99
2020-01-18,9.31
2020-01-19,11.44
2020-01-20,13.62
2020-01-21,12.96
2020-01-22,19.85
2020-01-23,21.91
2020-01-24,24.7
2020-01-25,28.89
2020-01-26,31.91
2020-01-27,37.63
2020-01-28,31.94
2020-01-29,34.2
2020-01-30,36.28
2020-01-31,37.71
2020-02-01,40.39
2020-02-02,42.32
2020-02-03,45.81
2020-02-04,38.57
2020-02-05,37.03
2020-02-06,37.66
2020-02-07,37.3
2020-02-08,39.45
2020-02-09,39.66
2020-02-10,41.74
2020-02-11,37.24
2020-02-12,38.07
2020-02-13,38.66
2020-02-14,39.8
2020-02-15,37.85
2020-02-16,37.67
2020-02-17,40.06
2020-02-18,39.55
2020-02-19,39.91
2020-02-20,36.49
2020-02-21,36.01
2020-02-22,35.43
2020-02-23,36.84
2020-02-24,41.22
2020-02-25,41.51
2020-02-26,43
2020-02-27,46.31
2020-02-28,48.77
2020-02-29,53.28
2020-03-01,54.89
2020-03-02,57.26
2020-03-03,54.71
2020-03-04,55.2
2020-03-05,55.65
2020-03-06,57.05
2020-03-07,57.43
2020-03-08,58.12
2020-03-09,61.18
2020-03-10,60.74
2020-03-11,61.62
2020-03-12,64.62
2020-03-13,65.37
2020-03-14,66.99
2020-03-15,75.51
2020-03-16,78.98
2020-03-17,75.58
2020-03-18,76.57
2020-03-19,77.86
2020-03-20,78.2
2020-03-21,79.88
2020-03-22,78.7
2020-03-23,82.61
2020-03-24,80.8
2020-03-25,82.2
2020-03-26,81.68
2020-03-27,82.12
2020-03-28,83.93
2020-03-29,80.99
2020-03-30,81.45
2020-03-31,82.31
2020-04-01,81.1
2020-04-02,81.19
2020-04-03,82.59
2020-04-04,81.4
2020-04-05,78.73
2020-04-06,79.84
2020-04-07,81.17
2020-04-08,82.39
2020-04-09,81.75
2020-04-10,82.95
2020-04-11,79.76
2020-04-12,79.41
2020-04-13,79.42
2020-04-14,80.27
2020-04-15,80.19
2020-04-16,81.01
2020-04-17,80.07
2020-04-18,80.04
2020-04-19,77.77
2020-04-20,79.33
2020-04-21,79.43
2020-04-22,80.13
2020-04-23,79
2020-04-24,79.93
2020-04-25,80.73
2020-04-26,74.92
2020-04-27,78.13
2020-04-28,79.58
2020-04-29,80.74
2020-04-30,78.5
2020-05-01,79.27
2020-05-02,81.52
2020-05-03,76.86
2020-05-04,77.25
2020-05-05,77.92
2020-05-06,78.46
2020-05-07,78.88
2020-05-08,79.37
2020-05-09,77.44
2020-05-10,72.71
2020-05-11,76.58
2020-05-12,77.23
2020-05-13,76.53
2020-05-14,77.76
2020-05-15,80.09
2020-05-16,76.13
2020-05-17,75.03
2020-05-18,75.24
2020-05-19,77.17
2020-05-20,76.61
2020-05-21,77.35
2020-05-22,77.07
2020-05-23,76.27
2020-05-24,71.87
2020-05-25,75.54
2020-05-26,72.73
2020-05-27,75.54
2020-05-28,76.82
2020-05-29,75.71
2020-05-30,76.43
2020-05-31,71.09
2020-06-01,71.41
2020-06-02,73.22
2020-06-03,73.95
2020-06-04,73.99
2020-06-05,73.81
2020-06-06,73.41
2020-06-07,70.94
2020-06-08,68.22
2020-06-09,73.27
