date,fngvalue,fngclassification,year,dailydeaths,panic_index,MHI,sentiment_index,MCI
26/12/2021,37,Fear,2021,6054,2.4,25.24,-26.09,65.95
25/12/2021,39,Fear,2021,6054,1.99,25.87,-23.53,62.65
24/12/2021,41,Fear,2021,6054,1.61,23.91,-14.49,63.83
23/12/2021,34,Fear,2021,9207,1.55,24.34,-15.23,64.4
22/12/2021,45,Fear,2021,8096,1.8,22.33,-17.47,62.97
21/12/2021,27,Fear,2021,8101,1.54,21.81,-18.15,61.47
20/12/2021,25,Extreme Fear,2021,6876,1.39,23.15,-18.34,62.01
19/12/2021,29,Fear,2021,4537,1.86,20.6,-14.07,63.16
18/12/2021,24,Extreme Fear,2021,5742,1.38,20.83,-10.48,62.79
17/12/2021,23,Extreme Fear,2021,6108,1.95,19.59,-7.75,60.71
16/12/2021,29,Fear,2021,7230,1.15,19.34,-4.57,61.99
15/12/2021,28,Fear,2021,9299,0.94,17.59,-2.43,60.42
14/12/2021,21,Extreme Fear,2021,8331,0.99,16.7,-1.57,59.32
13/12/2021,28,Fear,2021,6481,0.86,14.64,-8.86,57.71
12/12/2021,27,Fear,2021,4333,0.9,13.5,-9.01,57.4
11/12/2021,16,Extreme Fear,2021,6344,1.04,15.5,-13.71,59.39
10/12/2021,24,Extreme Fear,2021,8149,1.15,16.26,-13.14,60.51
09/12/2021,29,Fear,2021,7299,0.98,16.57,-14.71,61.48
08/12/2021,28,Fear,2021,8184,1.01,15.52,-14.57,59.42
07/12/2021,25,Extreme Fear,2021,8488,1.34,17.14,-17.3,60.51
06/12/2021,16,Extreme Fear,2021,7057,1.42,15.19,-10.38,60.18
05/12/2021,18,Extreme Fear,2021,7199,1.64,15.55,-22.01,61.39
04/12/2021,25,Extreme Fear,2021,6167,2.2,18.35,-21.05,61.18
03/12/2021,31,Fear,2021,7269,1.91,18.25,-24.3,62.31
02/12/2021,32,Fear,2021,10033,1.8,18.12,-25.06,62.83
01/12/2021,34,Fear,2021,9256,2.42,18.73,-23.74,63.59
30/11/2021,40,Fear,2021,8191,2.86,20.23,-21.11,61.6
29/11/2021,33,Fear,2021,7827,3.03,17.62,-20.8,62.47
28/11/2021,27,Fear,2021,4711,3.41,18.67,-20.33,62.92
27/11/2021,21,Extreme Fear,2021,6339,2,19.39,-16.5,59.42
26/11/2021,47,Neutral,2021,5858,1.02,15.17,-13.83,55.86
25/11/2021,32,Fear,2021,7803,0.95,14.91,-12.77,59.87
24/11/2021,42,Fear,2021,8693,0.61,13.49,-13.78,60.39
23/11/2021,33,Fear,2021,8329,0.8,15.03,-14.02,58.15
22/11/2021,50,Neutral,2021,7280,1.33,13.98,-13.16,58.31
21/11/2021,49,Neutral,2021,4473,0.83,13.48,-4.41,58.77
20/11/2021,43,Fear,2021,6254,1.22,15.62,1.53,59.04
19/11/2021,34,Fear,2021,7501,0.71,14.61,1.08,59.79
18/11/2021,54,Neutral,2021,8279,0.79,14.35,0.18,60.49
17/11/2021,52,Neutral,2021,9197,0.78,14.6,-0.23,60.35
16/11/2021,71,Greed,2021,7957,0.76,16.07,0.06,57.64
15/11/2021,72,Greed,2021,7029,1.63,13.99,-0.21,57.56
14/11/2021,74,Greed,2021,4584,0.7,11.07,2.68,57.01
13/11/2021,72,Greed,2021,6752,0.87,14.58,3.86,59.55
12/11/2021,74,Greed,2021,8202,0.9,14.11,5.01,59.66
11/11/2021,77,Extreme Greed,2021,7693,0.78,15.18,4.32,61.22
10/11/2021,75,Greed,2021,8162,0.93,15.7,5.15,60.97
09/11/2021,84,Extreme Greed,2021,8505,1.22,15.77,5.36,60.03
08/11/2021,75,Greed,2021,6739,1.15,13.87,5.36,60.56
07/11/2021,73,Greed,2021,4441,1.09,12.36,-4.62,61.18
06/11/2021,71,Greed,2021,6537,0.88,16.81,-3.11,62.09
05/11/2021,73,Greed,2021,8296,1.02,17.47,-4.24,62.33
04/11/2021,73,Greed,2021,7703,1.1,17.49,-3.07,61.74
03/11/2021,76,Extreme Greed,2021,8387,0.82,14.5,-3.69,60.1
02/11/2021,73,Greed,2021,7578,0.98,16.27,-3.02,60.84
01/11/2021,74,Greed,2021,6306,0.8,16.45,-3.32,59.1
31/10/2021,74,Greed,2021,4463,1.58,15.64,5.63,60.69
30/10/2021,73,Greed,2021,5991,1.27,18.85,5.28,60.85
29/10/2021,70,Greed,2021,8113,1.04,15.74,5.6,61.13
28/10/2021,66,Greed,2021,8253,0.77,16.06,5.75,59.63
27/10/2021,73,Greed,2021,9179,1.21,15.99,6.24,62.03
26/10/2021,76,Extreme Greed,2021,8214,0.71,15.26,5.06,59.76
25/10/2021,72,Greed,2021,6667,1.09,13.32,4.44,60.07
24/10/2021,73,Greed,2021,4558,1.09,14.23,3.75,59.54
23/10/2021,74,Greed,2021,5781,1.02,16.56,2.48,61.98
22/10/2021,75,Greed,2021,7858,0.8,15.79,3.58,62.14
21/10/2021,84,Extreme Greed,2021,7700,0.84,16.56,2.9,61.39
20/10/2021,82,Extreme Greed,2021,8700,0.81,16.52,1.72,61.81
19/10/2021,75,Greed,2021,8556,0.87,16.02,1.98,62.08
18/10/2021,78,Extreme Greed,2021,6511,0.88,13.54,3.26,57.59
17/10/2021,79,Extreme Greed,2021,4245,1.08,14.5,-5.75,59.78
16/10/2021,78,Extreme Greed,2021,5238,0.92,16.33,-8.07,61.32
15/10/2021,71,Greed,2021,6933,1.16,17.06,-7.92,61.98
14/10/2021,70,Greed,2021,8022,0.82,18.06,-6.16,62.83
13/10/2021,70,Greed,2021,8808,0.68,15.85,-4.93,61.89
12/10/2021,78,Extreme Greed,2021,8405,1.06,16.04,-5.3,60.17
11/10/2021,71,Greed,2021,5829,1.36,13.34,-6.94,58.35
10/10/2021,71,Greed,2021,4674,1.18,13.99,2.7,57.65
09/10/2021,72,Greed,2021,4761,1.41,16.7,-2.11,61.48
08/10/2021,74,Greed,2021,7285,1.08,16.84,-4.03,63.35
07/10/2021,76,Extreme Greed,2021,8843,1.27,17.02,-17.81,62.28
06/10/2021,68,Greed,2021,9266,1.16,16.08,-18.26,59.69
05/10/2021,59,Greed,2021,7679,0.83,15.77,-20.89,61.32
04/10/2021,54,Neutral,2021,7253,1.02,14.29,-20.15,58.91
