date,fngvalue,MHI,MCI,year
2021-12-26,37,25.24,65.95,2021
2021-12-25,39,25.87,62.65,2021
2021-12-24,41,23.91,63.83,2021
2021-12-23,34,24.34,64.4,2021
2021-12-22,45,22.33,62.97,2021
2021-12-21,27,21.81,61.47,2021
2021-12-20,25,23.15,62.01,2021
2021-12-19,29,20.6,63.16,2021
2021-12-18,24,20.83,62.79,2021
2021-12-17,23,19.59,60.71,2021
2021-12-16,29,19.34,61.99,2021
2021-12-15,28,17.59,60.42,2021
2021-12-14,21,16.7,59.32,2021
2021-12-13,28,14.64,57.71,2021
2021-12-12,27,13.5,57.4,2021
2021-12-11,16,15.5,59.39,2021
2021-12-10,24,16.26,60.51,2021
2021-12-09,29,16.57,61.48,2021
2021-12-08,28,15.52,59.42,2021
2021-12-07,25,17.14,60.51,2021
2021-12-06,16,15.19,60.18,2021
2021-12-05,18,15.55,61.39,2021
2021-12-04,25,18.35,61.18,2021
2021-12-03,31,18.25,62.31,2021
2021-12-02,32,18.12,62.83,2021
2021-12-01,34,18.73,63.59,2021
2021-11-30,40,20.23,61.6,2021
2021-11-29,33,17.62,62.47,2021
2021-11-28,27,18.67,62.92,2021
2021-11-27,21,19.39,59.42,2021
2021-11-26,47,15.17,55.86,2021
2021-11-25,32,14.91,59.87,2021
2021-11-24,42,13.49,60.39,2021
2021-11-23,33,15.03,58.15,2021
2021-11-22,50,13.98,58.31,2021
2021-11-21,49,13.48,58.77,2021
2021-11-20,43,15.62,59.04,2021
2021-11-19,34,14.61,59.79,2021
2021-11-18,54,14.35,60.49,2021
2021-11-17,52,14.6,60.35,2021
2021-11-16,71,16.07,57.64,2021
2021-11-15,72,13.99,57.56,2021
2021-11-14,74,11.07,57.01,2021
2021-11-13,72,14.58,59.55,2021
2021-11-12,74,14.11,59.66,2021
2021-11-11,77,15.18,61.22,2021
2021-11-10,75,15.7,60.97,2021
2021-11-09,84,15.77,60.03,2021
2021-11-08,75,13.87,60.56,2021
2021-11-07,73,12.36,61.18,2021
2021-11-06,71,16.81,62.09,2021
2021-11-05,73,17.47,62.33,2021
2021-11-04,73,17.49,61.74,2021
2021-11-03,76,14.5,60.1,2021
2021-11-02,73,16.27,60.84,2021
2021-11-01,74,16.45,59.1,2021
2021-10-31,74,15.64,60.69,2021
2021-10-30,73,18.85,60.85,2021
2021-10-29,70,15.74,61.13,2021
2021-10-28,66,16.06,59.63,2021
2021-10-27,73,15.99,62.03,2021
2021-10-26,76,15.26,59.76,2021
2021-10-25,72,13.32,60.07,2021
2021-10-24,73,14.23,59.54,2021
2021-10-23,74,16.56,61.98,2021
2021-10-22,75,15.79,62.14,2021
2021-10-21,84,16.56,61.39,2021
2021-10-20,82,16.52,61.81,2021
2021-10-19,75,16.02,62.08,2021
2021-10-18,78,13.54,57.59,2021
2021-10-17,79,14.5,59.78,2021
2021-10-16,78,16.33,61.32,2021
2021-10-15,71,17.06,61.98,2021
2021-10-14,70,18.06,62.83,2021
2021-10-13,70,15.85,61.89,2021
2021-10-12,78,16.04,60.17,2021
2021-10-11,71,13.34,58.35,2021
2021-10-10,71,13.99,57.65,2021
2021-10-09,72,16.7,61.48,2021
2021-10-08,74,16.84,63.35,2021
2021-10-07,76,17.02,62.28,2021
2021-10-06,68,16.08,59.69,2021
2021-10-05,59,15.77,61.32,2021
