date,fngvalue,totalcases,dailycases,totaldeaths,dailydeaths,panic_index,MHI,sentiment_index,MCI,btc_price
2020-03-31,12,857801,75091,42325,4503,5.3,58.16,-69.92,82.31,6412.5
2020-03-30,10,782710,62344,37822,3673,9.21,69.27,-67.34,81.45,6391
2020-03-29,12,720366,56938,34149,3258,7.86,66.2,-66.33,80.99,5890.4
2020-03-28,8,663428,69662,30891,3567,5.92,59.03,-65.87,83.93,6233.7
2020-03-27,12,593766,63653,27324,3222,5.42,59.51,-62.59,82.12,6373.4
2020-03-26,14,530113,62124,24102,2803,6.25,59.5,-59.65,81.68,6725.1
2020-03-25,13,467989,49739,21299,2586,6.63,60.07,-59.01,82.2,6678.9
2020-03-24,12,418250,39299,18713,2128,6.13,58.66,-58.59,80.8,6744.6
2020-03-23,10,378951,40463,16585,1903,8.05,68.87,-61.35,82.61,6468.9
2020-03-22,11,338488,34669,14682,1666,9.02,66.59,-61.38,78.7,5822.1
2020-03-21,9,303819,32375,13016,1669,6.9,56.92,-61.88,79.88,6186.2
2020-03-20,9,271444,29570,11347,1440,6.98,55.71,-64.22,78.2,6205.3
2020-03-19,12,241874,27630,9907,1138,6.49,52.98,-66.26,77.86,6172
2020-03-18,11,214244,17643,8769,841,6.32,52.11,-65.23,76.57,5361.4
2020-03-17,8,196601,15576,7928,780,6.58,50.22,-66.03,75.58,5261.1
2020-03-16,9,181025,14023,7148,695,8.8,61.16,-68.7,78.98,5030
2020-03-15,12,167002,11144,6453,630,7.68,55.88,-68.71,75.51,5366.3
2020-03-14,8,155858,10885,5823,416,7.01,47.08,-68.52,66.99,5182.7
2020-03-13,10,144973,16781,5407,679,6.06,41.48,-60.96,65.37,5584.3
2020-03-12,14,128192,2479,4728,108,4.07,33.27,-54.37,64.62,4826
2020-03-11,17,125713,7241,4620,354,4.26,31.24,-46.61,61.62,7935.1
2020-03-10,16,118472,4799,4266,262,4.78,28.57,-38.29,60.74,7891.2
2020-03-09,17,113673,3948,4004,199,5.23,29.85,-33.72,61.18,7933
2020-03-08,33,109725,3971,3805,241,4.03,28.3,-30.93,58.12,8034.1
2020-03-07,38,105754,4061,3564,103,3.38,24.68,-32.29,57.43,8887.8
2020-03-06,39,101693,3802,3461,113,2.83,21.96,-37.14,57.05,9134.8
2020-03-05,41,97891,2811,3348,94,2.84,22.19,-42.39,55.65,9060.3
2020-03-04,40,95080,2251,3254,94,2.59,21.12,-48.56,55.2,8757.9
2020-03-03,38,92829,2545,3160,74,2.69,19.7,-53.82,54.71,8761.4
2020-03-02,38,90284,1939,3086,89,3,20.38,-55.2,57.26,8904.8
2020-03-01,39,88345,2353,2997,55,2.86,17.23,-58.76,54.89,8540
