date,COUNTRY_NAME,totalcases,dailycases,totaldeaths,dailydeaths,panic_index,MHI,sentiment_index,MCI
2021-12-26,Worldwide,278891403,714262,5392790,6054,2.4,25.24,-26.09,65.95
2021-12-25,Worldwide,278891403,714262,5392790,6054,1.99,25.87,-23.53,62.65
2021-12-24,Worldwide,278891403,714262,5392790,6054,1.61,23.91,-14.49,63.83
2021-12-23,Worldwide,278177141,983304,5386736,9207,1.55,24.34,-15.23,64.4
2021-12-22,Worldwide,277193837,912305,5377529,8096,1.8,22.33,-17.47,62.97
2021-12-21,Worldwide,276281532,786528,5369433,8101,1.54,21.81,-18.15,61.47
2021-12-20,Worldwide,275495004,792318,5361332,6876,1.39,23.15,-18.34,62.01
2021-12-19,Worldwide,274702686,468763,5354456,4537,1.86,20.6,-14.07,63.16
2021-12-18,Worldwide,274233923,565609,5349919,5742,1.38,20.83,-10.48,62.79
2021-12-17,Worldwide,273668314,697407,5344177,6108,1.95,19.59,-7.75,60.71
2021-12-16,Worldwide,272970907,741190,5338069,7230,1.15,19.34,-4.57,61.99
2021-12-15,Worldwide,272229717,739250,5330839,9299,0.94,17.59,-2.43,60.42
2021-12-14,Worldwide,271490467,680605,5321540,8331,0.99,16.7,-1.57,59.32
2021-12-13,Worldwide,270809862,638442,5313209,6481,0.86,14.64,-8.86,57.71
2021-12-12,Worldwide,270171420,431989,5306728,4333,0.9,13.5,-9.01,57.4
2021-12-11,Worldwide,269739431,488875,5302395,6344,1.04,15.5,-13.71,59.39
2021-12-10,Worldwide,269250556,691958,5296051,8149,1.15,16.26,-13.14,60.51
2021-12-09,Worldwide,268558598,713518,5287902,7299,0.98,16.57,-14.71,61.48
2021-12-08,Worldwide,267845080,672798,5280603,8184,1.01,15.52,-14.57,59.42
2021-12-07,Worldwide,267172282,698062,5272419,8488,1.34,17.14,-17.3,60.51
2021-12-06,Worldwide,266474220,595576,5263931,7057,1.42,15.19,-10.38,60.18
