,date,area,totalcases,MHI,MCI,btc_price,eth_price
0,12/12/2021,Worldwide,269195299,13.5,57.4,49225.00,4041.61
1,11/12/2021,Worldwide,269195299,15.5,59.39,49314.50,4075.66
2,10/12/2021,Worldwide,269195299,16.26,60.51,47137.20,3903.48
3,09/12/2021,Worldwide,268558266,16.57,61.48,47596.60,4107.69
4,08/12/2021,Worldwide,267834341,15.52,59.42,50473.90,4435.74
5,07/12/2021,Worldwide,267163176,17.14,60.51,50595.20,4307.08
6,06/12/2021,Worldwide,266468058,15.19,60.18,50562.10,4353.31
7,05/12/2021,Worldwide,265864109,15.55,61.39,49405.50,4194.80
8,04/12/2021,Worldwide,265440690,18.35,61.18,49195.20,4123.46
9,03/12/2021,Worldwide,264932878,18.25,62.31,53631.50,4219.30
10,02/12/2021,Worldwide,264220632,18.12,62.83,56496.00,4512.90
11,01/12/2021,Worldwide,263519289,18.73,63.59,57210.30,4583.28
12,30/11/2021,Worldwide,262812527,20.23,61.6,56882.90,4628.90
13,29/11/2021,Worldwide,262182633,17.62,62.47,57794.80,4443.22
14,28/11/2021,Worldwide,261516772,18.67,62.92,57291.50,4296.98
15,27/11/2021,Worldwide,261110870,19.39,59.42,54765.90,4094.80
16,26/11/2021,Worldwide,260660212,15.17,55.86,53730.90,4034.53
17,25/11/2021,Worldwide,260068306,14.91,59.87,58935.10,4520.30
18,24/11/2021,Worldwide,259472167,13.49,60.39,57171.70,4273.54
19,23/11/2021,Worldwide,258799077,15.03,58.15,57573.20,4340.23
20,22/11/2021,Worldwide,258189863,13.98,58.31,56308.80,4086.95
21,21/11/2021,Worldwide,257565129,13.48,58.77,58714.30,4268.08
22,20/11/2021,Worldwide,257168801,15.62,59.04,59717.60,4408.85
23,19/11/2021,Worldwide,256690934,14.61,59.79,58083.40,4295.43
24,18/11/2021,Worldwide,256078015,14.35,60.49,56955.30,4001.87
25,17/11/2021,Worldwide,255463150,14.6,60.35,60367.80,4290.88
26,16/11/2021,Worldwide,254837959,16.07,57.64,60089.10,4208.16
27,15/11/2021,Worldwide,254315156,13.99,57.56,63597.90,4562.98
28,14/11/2021,Worldwide,253770095,11.07,57.01,65508.20,4625.59
29,13/11/2021,Worldwide,253418652,14.58,59.55,64398.60,4644.61
30,12/11/2021,Worldwide,252989981,14.11,59.66,64134.50,4667.31
31,11/11/2021,Worldwide,252395722,15.18,61.22,64806.70,4720.87
32,10/11/2021,Worldwide,251879600,15.7,60.97,64932.60,4634.03
33,09/11/2021,Worldwide,251305175,15.77,60.03,66904.40,4731.83
34,08/11/2021,Worldwide,250821737,13.87,60.56,67527.90,4808.38
35,07/11/2021,Worldwide,250343250,12.36,61.18,63273.20,4612.06
36,06/11/2021,Worldwide,249996073,16.81,62.09,61483.90,4517.36
37,05/11/2021,Worldwide,249581640,17.47,62.33,60974.30,4475.00
38,04/11/2021,Worldwide,249066598,17.49,61.74,61412.60,4535.11
39,03/11/2021,Worldwide,248538823,14.5,60.1,62918.50,4602.21
40,02/11/2021,Worldwide,248017603,16.27,60.84,63221.70,4586.06
41,01/11/2021,Worldwide,247587799,16.45,59.1,60915.30,4320.85
42,31/10/2021,Worldwide,247164753,15.64,60.69,61309.60,4287.56
43,30/10/2021,Worldwide,246843901,18.85,60.85,61840.10,4320.65
44,29/10/2021,Worldwide,246461921,15.74,61.13,62242.80,4413.70
45,28/10/2021,Worldwide,245957103,16.06,59.63,60582.50,4284.90
46,27/10/2021,Worldwide,245498327,15.99,62.03,58438.10,3921.93
47,26/10/2021,Worldwide,244985846,15.26,59.76,60310.80,4129.51
48,25/10/2021,Worldwide,244542769,13.32,60.07,63067.00,4219.92
49,24/10/2021,Worldwide,244111765,14.23,59.54,60866.50,4082.80
50,23/10/2021,Worldwide,243795689,16.56,61.98,61312.50,4168.85
51,22/10/2021,Worldwide,243435393,15.79,62.14,60690.30,3970.94
52,21/10/2021,Worldwide,242950039,16.56,61.39,62210.20,4054.16
53,20/10/2021,Worldwide,242493057,16.52,61.81,65979.10,4159.89
54,19/10/2021,Worldwide,242021852,16.02,62.08,64278.50,3876.78
55,18/10/2021,Worldwide,241579420,13.54,57.59,62056.30,3747.60
56,17/10/2021,Worldwide,241164653,14.5,59.78,61527.50,3845.47
57,16/10/2021,Worldwide,240851366,16.33,61.32,60861.10,3827.55
58,15/10/2021,Worldwide,240514095,17.06,61.98,61672.50,3866.90
59,14/10/2021,Worldwide,240057301,18.06,62.83,57345.80,3790.41
60,13/10/2021,Worldwide,239612736,15.85,61.89,57380.10,3607.28
61,12/10/2021,Worldwide,239149400,16.04,60.17,56015.90,3489.90
62,11/10/2021,Worldwide,238715812,13.34,58.35,57477.30,3545.06
63,10/10/2021,Worldwide,238333805,13.99,57.65,54687.70,3415.03
64,09/10/2021,Worldwide,238018875,16.7,61.48,54942.50,3574.20
65,08/10/2021,Worldwide,237686620,16.84,63.35,53914.70,3559.42
66,07/10/2021,Worldwide,237212443,17.02,62.28,53783.90,3586.00
67,06/10/2021,Worldwide,236779602,16.08,59.69,55323.20,3575.41
68,05/10/2021,Worldwide,236266644,15.77,61.32,51469.30,3517.26
69,04/10/2021,Worldwide,235846176,14.29,58.91,49227.30,3382.90
70,03/10/2021,Worldwide,235401647,16.88,63.34,48200.10,3417.34
71,02/10/2021,Worldwide,235095253,18.76,63.2,47666.90,3388.97
72,01/10/2021,Worldwide,234748599,17.36,61.62,48146.00,3309.13
73,30/09/2021,Worldwide,234209471,18.6,63.22,43823.30,3000.59
74,29/09/2021,Worldwide,233724705,18.53,63.18,41536.80,2851.50
75,28/09/2021,Worldwide,233221906,18.83,61.68,41022.30,2807.28
76,27/09/2021,Worldwide,232772166,13.13,59.72,42172.60,2926.24
77,26/09/2021,Worldwide,232299522,15.12,62.82,43203.40,3063.51
78,25/09/2021,Worldwide,231951194,18.97,63.13,42686.80,2922.55
79,24/09/2021,Worldwide,231584038,17.96,64.15,42819.90,2928.57
80,23/09/2021,Worldwide,231036726,18.56,64.87,44869.20,3152.92
81,22/09/2021,Worldwide,230525007,19.32,63.84,43551.60,3077.78
82,21/09/2021,Worldwide,229986836,18.46,63.19,40651.30,2761.52
83,20/09/2021,Worldwide,229517405,14.84,60.44,42870.60,2976.05
84,19/09/2021,Worldwide,228983331,17.28,62.04,47238.70,3329.12
85,18/09/2021,Worldwide,228622489,19.81,64.69,48306.70,3435.97
86,17/09/2021,Worldwide,228085441,20.21,63.96,47282.80,3398.65
87,16/09/2021,Worldwide,227492141,19.93,64.53,47748.00,3569.43
88,15/09/2021,Worldwide,226915585,20.48,64.66,48130.60,3611.90
89,14/09/2021,Worldwide,226347624,18.6,62.84,47077.50,3428.87
90,13/09/2021,Worldwide,225796002,16.66,59.87,44949.50,3284.52
91,12/09/2021,Worldwide,225194710,16.96,62.26,46062.30,3408.28
92,11/09/2021,Worldwide,224826464,21.41,64.72,45161.90,3267.33
93,10/09/2021,Worldwide,224369896,20.88,63.76,44842.80,3207.27
94,09/09/2021,Worldwide,223736159,19.85,64.2,46385.60,3423.51
95,08/09/2021,Worldwide,223098534,19.64,62.96,46061.40,3495.10
96,07/09/2021,Worldwide,222466832,18.76,61.93,46779.60,3423.12
97,06/09/2021,Worldwide,221741039,19.66,64.88,52672.10,3927.21
98,05/09/2021,Worldwide,221300532,19.19,65.3,51768.60,3950.62
99,04/09/2021,Worldwide,220860465,21.78,63.8,49918.40,3884.97
100,03/09/2021,Worldwide,220375748,19.09,65.38,49999.00,3936.29
101,02/09/2021,Worldwide,219657887,20.77,66.74,49274.30,3786.19
102,01/09/2021,Worldwide,218980871,19.94,65.88,48819.40,3832.73
103,31/08/2021,Worldwide,218253526,20.62,65.24,47130.40,3430.74
104,30/08/2021,Worldwide,217634085,18.67,63.67,46992.70,3225.67
105,29/08/2021,Worldwide,216947553,20.94,64.62,48777.40,3222.16
106,28/08/2021,Worldwide,216500980,21.82,65.44,48897.10,3243.90
107,27/08/2021,Worldwide,215953596,21.62,66.5,49064.30,3273.58
108,26/08/2021,Worldwide,215208086,22.59,67.17,46831.60,3093.54
109,25/08/2021,Worldwide,214472394,22.85,66.34,48994.50,3228.15
110,24/08/2021,Worldwide,213742060,23.68,67.2,47714.70,3173.26
111,23/08/2021,Worldwide,213054951,19.85,66.2,49539.70,3319.49
112,22/08/2021,Worldwide,212350485,19.52,65.11,49254.50,3238.70
113,21/08/2021,Worldwide,211903934,23.98,66.56,48875.80,3223.96
114,20/08/2021,Worldwide,211363802,20.93,65.97,49324.00,3284.21
115,19/08/2021,Worldwide,210573794,22.38,67.4,46755.90,3184.82
116,18/08/2021,Worldwide,209858126,23.5,66.13,44723.80,3016.91
117,17/08/2021,Worldwide,209129882,20.73,64.12,44691.60,3014.58
118,16/08/2021,Worldwide,208446748,20.26,63.51,45996.30,3147.65
119,15/08/2021,Worldwide,207768138,20.03,66.06,46991.30,3308.87
120,14/08/2021,Worldwide,207304126,23.71,66.4,47081.50,3264.69
121,13/08/2021,Worldwide,206770184,23.15,67.73,47809.10,3322.43
122,12/08/2021,Worldwide,205964473,23.62,65.5,44403.40,3043.61
123,11/08/2021,Worldwide,205253714,24.05,65.96,45564.30,3163.66
124,10/08/2021,Worldwide,204525187,23.32,65.96,45593.80,3140.71
125,09/08/2021,Worldwide,203876512,25.93,65.93,46284.30,3162.93
126,08/08/2021,Worldwide,203222679,24.56,65.44,43792.80,3012.07
127,07/08/2021,Worldwide,202781094,23.25,66.1,44614.20,3158.00
128,06/08/2021,Worldwide,202230166,23.78,67.25,42795.40,2889.43
129,05/08/2021,Worldwide,201408350,23.66,67.61,40867.20,2827.21
130,04/08/2021,Worldwide,200719425,23.11,67.37,39736.90,2725.29
131,03/08/2021,Worldwide,200044022,23.7,65.05,38130.30,2506.65
132,02/08/2021,Worldwide,199406609,24.96,63.64,39168.40,2608.04
133,01/08/2021,Worldwide,198828535,23.61,65.77,39878.30,2556.23
134,31/07/2021,Worldwide,198347236,23.71,65.98,41553.70,2532.19
135,30/07/2021,Worldwide,197837068,23.24,66.6,42203.40,2460.95
136,29/07/2021,Worldwide,197106768,23.88,66.6,40001.40,2380.93
137,28/07/2021,Worldwide,196453896,21.81,65.74,40003.20,2299.11
138,27/07/2021,Worldwide,195809585,23.58,64.56,39452.00,2300.22
139,26/07/2021,Worldwide,195199364,25.35,64.0,37276.60,2229.53
140,25/07/2021,Worldwide,194658993,25.38,64.47,35391.10,2189.79
141,24/07/2021,Worldwide,194213700,25.12,65.36,33824.80,2151.85
142,23/07/2021,Worldwide,193798455,23.87,64.63,33603.30,2123.61
